id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
496,Devdas,Bengali,7.6,2005,All,140.0
497,Odeya,Kannada,4.4,2019,13+,162.0
498,Bal Ganesh Part II,Hindi,6.8,2009,All,73.0
499,The White Haired Witch Of Lunar Kingdom,Hindi,5.4,2016,13+,99.0
500,Khud-Daar,Hindi,6.9,1982,All,163.0
501,Naach Nagini Naach Re,Bengali,5.7,2017,13+,157.0
502,Contract To Kill,Tamil,3.4,2016,13+,88.0
503,And Soon the Darkness,English,5.2,2010,18+,91.0
506,Oram Po,Tamil,6.7,2007,All,109.0
507,Raja Babu,Bengali,6.3,2017,13+,165.0
508,Dharani Mandala Madhyadolage,Kannada,7.5,1983,NR,146.0
510,Guru Dakshina,Bengali,7.2,2017,13+,146.0
511,Rojulu Marayi (New),Telugu,5.8,2016,13+,131.0
512,Black and Blue,English,6.4,2019,18+,107.0
513,The Warrior's Way,English,6.3,2010,18+,96.0
514,Navri Mile Navryala,Marathi,7.6,1984,All,142.0
515,Suhaagan,Hindi,6.1,1986,All,144.0
517,Chitralahari,Telugu,7.1,2019,All,119.0
518,Art of Darkness,English,3.2,2020,13+,85.0
520,6 - 5  2,Hindi,4.2,2014,13+,103.0
521,Tahaan,Hindi,7.1,2008,All,94.0
523,Aatishbaazi Ishq,Punjabi,5.4,2016,13+,145.0
524,Resident Evil: Extinction,English,6.3,2007,18+,94.0
525,Harry Potter and the Chamber of Secrets,English,7.4,2002,All,160.0
526,Aanandam,Malayalam,7.2,2016,All,118.0
527,Kaiyethum Doorath,Malayalam,3.4,2002,NR,146.0
528,Talaash - The Hunt Begins,Hindi,4.7,2003,13+,152.0
529,Cappuccino,Marathi,5.4,2014,All,122.0
530,Western Stars,English,7.5,2019,13+,83.0
531,Enakku 20 Unakku 18,Tamil,5.3,2003,13+,157.0
533,Sawaal,Kannada,6.1,2014,NR,118.0
535,Born To Race : Fast Track,Marathi,5.3,2014,16+,97.0
536,The Lodge,Telugu,6.1,2020,18+,108.0
