"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
721,"Tommy","Telugu",6.6,2015,"All",105
723,"Amma Cheppindhi","Telugu",7.2,2006,"13+",142
724,"Salt and Fire","English",4.2,2017,"16+",97
725,"Shelter","English",6.5,2019,"13+",50
726,"Welcome Back","Hindi",4.2,2015,"NR",148
727,"The Don","Malayalam",4.2,2006,"18+",133
728,"Anacondas: The Hunt for the Blood Orchid","Hindi",4.7,2004,"16+",96
730,"Aborto","Bengali",6,2018,"13+",111
731,"Karthikeya","Telugu",7.4,2014,"13+",114
732,"M Cream","Hindi",5.6,2014,"18+",116
733,"7 1/2 Phere - More Than A Wedding","Hindi",5.3,2005,"All",132
734,"Kotha Bangaru Lokam","Telugu",6.9,2008,"All",149
735,"Allari Police","Telugu",5.1,1994,"NR",141
736,"Nagordola","Bengali",7.5,2019,"13+",144
739,"Who Cares","English",5.3,2020,"13+",79
740,"Girlz","Marathi",4.3,2019,"13+",134
741,"Jeepers Creepers 2","Tamil",5.6,2003,"18+",104
742,"Godzilla: King of The Monsters","Hindi",6,2019,"16+",131
743,"Kapoor & Sons","Hindi",7.7,2016,"13+",137
744,"Lafangey Parindey","Hindi",5.2,2010,"13+",126
745,"Deep Six","English",4,2018,"18+",73
746,"Harry Potter and the Order of the Phoenix","Hindi",7.5,2007,"13+",138
747,"Battle for Incheon: Operation Chromite","Hindi",6.2,2016,"18+",106
749,"Kangalal Kaithu Sei","Tamil",5.5,2004,"13+",145
752,"Jayam Manadera","Telugu",6.3,2000,"NR",151
753,"Runaway Jury","English",7.1,2003,"13+",127
755,"O Chinadana","Telugu",6.7,2002,"NR",146
758,"The Odds","English",4.9,2011,"18+",91
759,"Kavikkuyil","Tamil",5.8,1977,"NR",99
760,"Don't Say a Word","English",6.3,2001,"18+",113
763,"Boys and Girls","Telugu",5.4,2007,"NR",105
764,"Enduko Emo","Telugu",5.4,2018,"13+",134
766,"Back to the Future","Hindi",8.5,1985,"13+",116
767,"The Smurfs","Hindi",5.4,2011,"7+",102
770,"Motu Patlu King of Kings","Hindi",6.8,2019,"All",104
771,"Sagar Balaka","Bengali",7.4,1984,"NR",110
773,"Bermuda Tentacles ( Hindi )","Hindi",3.5,2014,"All",89
774,"Transformers Prime Predacons Rising","English",7.5,2019,"7+",61
775,"Udayon","Malayalam",4.3,2005,"All",156
776,"Pakeezah","Hindi",7.4,1972,"All",147
777,"NOTA","Telugu",6.4,2018,"16+",144
779,"The Expendables 2","Tamil",6.6,2012,"18+",98
780,"Batla House","Hindi",7.2,2019,"13+",139
781,"Godzilla (2014)","English",6.4,2014,"13+",123
782,"Aatagallu","Telugu",5.3,2018,"13+",135
783,"You Don't Mess with the Zohan","English",5.5,2008,"18+",112
785,"Aamad","Hindi",5.9,2017,"All",12
786,"A Beautiful Day in the Neighborhood","Tamil",7.3,2019,"All",108
788,"Chhoti Si Baat","Hindi",8.3,1976,"All",115
790,"Crash","English",7.7,2005,"18+",108
791,"Shreelancer","Hindi",7.2,2017,"13+",93
792,"Rajakota Rahashyam","Telugu",7,1971,"NR",130
794,"Hameshaa","Hindi",5.3,1997,"13+",138
795,"Balika Badhu","Hindi",7,1976,"All",116
796,"Jeepers Creepers 2","Telugu",5.6,2003,"18+",104
798,"Jaatishwar","Bengali",8,2014,"All",147
799,"Petromax","Tamil",5.4,2019,"13+",126
801,"Aadmi Aur Apsara","Hindi",6.5,1991,"NR",142
802,"Super Bheem Dream Catcher","Hindi",6.2,2017,"7+",66
805,"Salon Kitty","English",5.4,1976,"18+",125
806,"Manu Uncle","Malayalam",7.2,1988,"NR",116
808,"Shift","English",7.4,2020,"13+",28
810,"Kuch Pal Pyar Ke","Hindi",4.3,2018,"NR",104
811,"Lekar Hum Deewana Dil","Hindi",4.9,2014,"NR",133
814,"Worlds Apart","English",7,2017,"16+",114
815,"Naqaab","Hindi",5.3,2007,"13+",118
816,"Aami Shey O Sakha","Bengali",6.8,1975,"NR",140
817,"Blindspotting (2018)","English",7.4,2018,"18+",95
818,"Hello! Hum Lallan Bol Rahe Hain","Hindi",6.2,2010,"All",109
